tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
CDVFDMETT15000036,Ministry of Social and Family Development - Family Development Group,Provision of Call Answering and Hotline Management Service for Government-paid Leave Schemes,2015-06-12,Awarded to Suppliers,TERRA SYSTEMS PTE. LTD.,1478060
CDVFDMETT15000037,Ministry of Social and Family Development - Family Development Group,REQUEST FOR PROPOSAL (RFP) FOR THE STUDY ON EXTENDED FAMILIES IN SINGAPORE,2015-06-22,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,178000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,APKIM RESOURCES,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,CAROLINA EDUCATION CONSULTANCY PTE. LTD.,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,En Community Services Society,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,Morning Star Community Services,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,SPARKZ CONSULTANTS PTE. LTD.,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,Suchi Success Initiatives Pte Ltd,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,TOUCH COMMUNITY SERVICES LIMITED,193000
CDVFDMETT15000038,Ministry of Social and Family Development - Family Development Group,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",2015-10-06,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,193000
CDVFDMETT15000039,Ministry of Social and Family Development - Family Development Group,Provision of Families for Life (FFL) collaterals and resource materials,2015-07-03,Awarded to Suppliers,AMPHASIS DESIGN PTE LTD,109040
CDVFDMETT15000039,Ministry of Social and Family Development - Family Development Group,Provision of Families for Life (FFL) collaterals and resource materials,2015-07-03,Awarded to Suppliers,Graphic Masters & Advertising Pte Ltd,109040
CDVFDMETT15000039,Ministry of Social and Family Development - Family Development Group,Provision of Families for Life (FFL) collaterals and resource materials,2015-07-03,Awarded to Suppliers,LEE & LIM INTERNATIONAL,109040
CDVFDMETT15000045,Ministry of Social and Family Development - Family Development Group,Social Survey about Care Arrangements for Infants,2015-08-04,Awarded to Suppliers,EA RESEARCH & CONSULTING PTE. LTD.,109200
CDVFDMETT15000049,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Services to Organise Families for Life Monthly Picnics,2015-12-02,Awarded to No Suppliers,na,0
CDVFDMETT15000051,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Administration of Cinta Abadi Marriage Preparation Programme,2015-10-30,Awarded to Suppliers,MENDAKI SOCIAL ENTERPRISE NETWORK SINGAPORE PTE. LTD.,562710
CDVFDMETT15000052,Ministry of Social and Family Development - Family Development Group,INVITATION TO TENDER FOR THE PROVISION OF ADMINISTRATION AND TRAINING SERVICES FOR LOCAL DATING INDUSTRY,2015-12-11,Awarded to Suppliers,SINGAPORE NATIONAL EMPLOYERS FEDERATION,251360
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,COMPASS LIFE,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,En Community Services Society,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,FAMILYWISE,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,Morning Star Community Services,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,Reach Community Services Society,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,2687512.5
CDVFDMETT15000053,Ministry of Social and Family Development - Family Development Group,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),2015-11-09,Awarded to Suppliers,UNLEASH & SOAR,2687512.5
CDVFDMETT15000055,Ministry of Social and Family Development - Family Development Group,REQUEST FOR PROPOSAL (RFP) FOR THE STUDY ON DIVORCED AND WIDOWED SENIORS IN SINGAPORE,2015-12-31,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,101330
CDVHQ0ETT14000061,Ministry of Social and Family Development - Ministry Headquarter,APPOINTMENT OF A MANAGING CONTRACTOR FOR THE PROVISION OF FACILITIES MANAGEMENT SERVICES FOR MSF VOID DECK FACILITIES AND OFFICE SPACES FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND BY A FURTHER ONE (1) YEAR,2015-01-30,Awarded to Suppliers,DTZ FACILITIES & ENGINEERING (S) LIMITED,3153335
CDVHQ0ETT14000066,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for the Provision of Services for Write In Simple English Movement,2015-03-10,Awarded to Suppliers,BRITISH COUNCIL (SINGAPORE) LIMITED,826680
CDVHQ0ETT14000072,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of Data Collection Services for the Evaluative Study on Elderly Support Facilities. The details of the services required are set out in the Requirement Specifications.,2015-01-28,Awarded to Suppliers,ML Research Consultants Pte Ltd,162500
CDVHQ0ETT14000079,Ministry of Social and Family Development - Ministry Headquarter,Provision of Event Management Services for MSF Volunteer Awards 2015,2015-01-12,Awarded to Suppliers,Pico Art International Pte Ltd,294480
CDVHQ0ETT14000082,Ministry of Social and Family Development - Ministry Headquarter,TENDER FOR CONDUCTING SOCIAL INVESTIGATION FOR 2 YEARS WITH THE OPTION TO EXTEND FOR 2 YEARS,2015-01-05,Awarded to Suppliers,THYE HUA KWAN MORAL CHARITIES LIMITED,428400
CDVHQ0ETT14000084,Ministry of Social and Family Development - Ministry Headquarter,"Provision of data collection and analysis services for the Social Service Office Division, Ministry of Social and Family Development, for a period of 6 months",2015-02-06,Awarded to No Suppliers,na,0
CDVHQ0ETT14000087,Ministry of Social and Family Development - Ministry Headquarter,"Proposed New Erection Of A 2 Storey Social Service Office (SSO) On Lot Mk06-00931m(Pt) At Corporation Drive, Taman Jurong, Singapore",2015-02-04,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.,2992850
CDVHQ0ETT14000088,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,2015-01-30,Awarded to Suppliers,GOLDEN VILLAGE MULTIPLEX PTE LTD,841861.03
CDVHQ0ETT14000088,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,2015-01-30,Awarded to Suppliers,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.,841861.03
CDVHQ0ETT14000088,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,2015-01-30,Awarded to Suppliers,MEDIACORP PTE. LTD.,841861.03
CDVHQ0ETT14000088,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,2015-01-30,Awarded to Suppliers,SINGAPORE PRESS HOLDINGS LIMITED,841861.03
CDVHQ0ETT14000088,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,2015-01-30,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.,841861.03
CDVHQ0ETT14000090,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of services for Revocation of Casino Self-Exclusion and Voluntary Visit Limit.,2015-04-07,Awarded to Suppliers,INSTITUTE OF MENTAL HEALTH,898840
CDVHQ0ETT14000090,Ministry of Social and Family Development - Ministry Headquarter,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of services for Revocation of Casino Self-Exclusion and Voluntary Visit Limit.,2015-04-07,Awarded to Suppliers,THE RESILIENZ CLINIC PTE. LTD.,898840
CDVHQ0ETT14000091,Ministry of Social and Family Development - Ministry Headquarter,Invitation To Tender (ITT) for the Provision of Counter and Administration Support Services for Ministry of Social and Family Development.,2015-04-17,Awarded to Suppliers,ST ELECTRONICS (E-SERVICES) PTE. LTD.,3516960
CDVHQ0ETT14000094,Ministry of Social and Family Development - Ministry Headquarter,"Invitation to Tender for the supply, delivery, installation, testing, commissioning, operations and maintenance of an Enterprise Single Sign-On (ESSO) Software, Hardware and Services for Ministry of Social and Family Development (MSF).",2015-03-12,Awarded to No Suppliers,na,0
CDVHQ0ETT14000096,Ministry of Social and Family Development - Ministry Headquarter,"Proposed A&A works to existing vacant premises on 2nd storey of Blk 5 Beach Rd and to part of the existing void deck on 1st storey at Blk 13 Bedok South Rd, Blk 121 Bt Merah View and Blk 190 Boon Lay Drive to Senior Activity Centre",2015-03-04,Awarded to Suppliers,ASA CONTRACTS PTE. LTD.,897000
CDVHQ0ETT15000001,Ministry of Social and Family Development - Ministry Headquarter,ITT for the provision of corporate mobile phones and lines for Ministry of Social and Family Development,2015-03-24,Awarded to Suppliers,M1 LIMITED,240000
CDVHQ0ETT15000007,Ministry of Social and Family Development - Ministry Headquarter,MSF will be conducting 9 runs (6 confirmed and 3 optional) of Career Conversations Workshops to enable MSF People Managers to engage their direct reports positively and effectively in performance and development discussions. The workshop will equip participants with the skills to plan and conduct effective career conversations by leveraging on the framework provided by the new HRMS Staff Appraisal Report and Individual Development Plan modules.,2015-03-11,Awarded to No Suppliers,na,0
CDVHQ0ETT15000012,Ministry of Social and Family Development - Ministry Headquarter,EVALUATIVE STUDY ON EFFECTIVENESS OF SOCIAL ASSISTANCE SCHEME TO IMPROVE FAMILIES FINANCIAL AND SOCIAL SITUATION,2015-04-23,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,118000
CDVHQ0ETT15000016,Ministry of Social and Family Development - Ministry Headquarter,MSF will be conducting 9 runs (6 confirmed and 3 optional) of Career Conversations Workshops to enable MSF People Managers to engage their direct reports positively and effectively in performance and development discussions. The workshop will equip participants with the skills to plan and conduct effective career conversations by leveraging on the framework provided by the new HRMS Staff Appraisal Report and Individual Development Plan modules.,2015-07-08,Awarded to Suppliers,SUCCESS STRATEGY (PTE) LTD,40500
CDVHQ0ETT15000024,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for the Provision of Audit Services for MSF-funded Programmes for one year with option to extend for another year,2015-06-19,Awarded to Suppliers,PROTIVITI PTE. LTD.,180600
CDVHQ0ETT15000025,Ministry of Social and Family Development - Ministry Headquarter,"Appointment of Term Contractor for a Term of Two (2) years with an Option to Extend for a Further One (1) Year for Proposed Development Works at HDB Void Deck, Rental Units and MSF Premises in Singapore",2015-08-26,Awarded to Suppliers,SUCCESS FOREVER CONSTRUCTION & MAINTENANCE PTE LTD,18.68
CDVHQ0ETT15000026,Ministry of Social and Family Development - Ministry Headquarter,Invitation to tender for a public awareness campaign on problem gambling for the National Council on Problem Gambling (NCPG),2015-09-03,Awarded to No Suppliers,na,0
CDVHQ0ETT15000027,Ministry of Social and Family Development - Ministry Headquarter,"Invitation to Tender for the Provision of Group Sharing Mobile Broadband Subscriptions Plans for Social Service Office Division, Ministry of Social and Family Development",2015-07-01,Awarded to Suppliers,BTW Technology Pte Ltd,63504
CDVHQ0ETT15000034,Ministry of Social and Family Development - Ministry Headquarter,Invitation to tender for the appointment of a contractor for the proposed upgrading and alterations of offices in Singapore Girls' Home,2015-10-05,Awarded to Suppliers,D'ASSOCIATES CONSTRUCTION PTE LTD,152810
CDVHQ0ETT15000035,Ministry of Social and Family Development - Ministry Headquarter,Invitation to tender for the appointment of a Managing Contractor for the provision of facilities management services for MSF facilities at 141 Redhill Road Singapore 158828 for a period of two (2) years with an option to extend by a further one (1) year,2015-10-28,Awarded to Suppliers,DTZ FACILITIES & ENGINEERING (S) LIMITED,3580767
CDVHQ0ETT15000036,Ministry of Social and Family Development - Ministry Headquarter,Invitation To Tender For The Proposed Design and Build Project  For  The Strengthening of Slope at Existing Registry of Marriage For Ministry of Social & Family Development,2015-10-13,Awarded to Suppliers,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,335000
CDVHQ0ETT15000037,Ministry of Social and Family Development - Ministry Headquarter,Invitation to tender for the provision of healthcare and hygiene consumables,2015-07-16,Awarded to No Suppliers,na,0
CDVHQ0ETT15000038,Ministry of Social and Family Development - Ministry Headquarter,Proposed Development of EIPIC Centre at Blk 661 Hougang Avenue 4 / 660 Hougang Avenue 8 Singapore 530660 & 530661,2015-09-04,Awarded to Suppliers,ASA CONTRACTS PTE. LTD.,868000
CDVHQ0ETT15000039,Ministry of Social and Family Development - Ministry Headquarter,Invitation to tender for the provision of healthcare and hygiene consumables,2015-08-31,Awarded to Suppliers,ST Logistics Pte. Ltd.,1584628
CDVHQ0ETT15000040,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for the Provision of Services of Security Officers/Protection Officers During Hearing Sessions at the National Council on Problem Gambling,2015-12-31,Awarded to No Suppliers,na,0
CDVHQ0ETT15000042,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for the Provision of Audit Services at Student Care Centres and Kindergartens Administering Government Subsidy Schemes,2015-10-06,Awarded to Suppliers,AUDIT ALLIANCE LLP,38066.8
CDVHQ0ETT15000043,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for the Provision of a Mass Fever Screening System,2015-12-07,Awarded to Suppliers,OMNISENSE SYSTEMS PRIVATE LIMITED,95000
CDVHQ0ETT15000046,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for Proposed New Erection of 4/5 Storey Adult Disability Home at Sembawang Walk on Lot 05739T PT MK13 (Sembawang Planning Area),2015-12-21,Awarded to Suppliers,H P CONSTRUCTION & ENGINEERING PTE LTD,15944584
CDVHQ0ETT15000047,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for the Management of ComCare Hotline Call Service (2-Year Contract),2015-11-13,Awarded to Suppliers,TELE-CENTRE SERVICES PTE LTD,3465600
CDVHQ0ETT15000049,Ministry of Social and Family Development - Ministry Headquarter,Invitation to tender to provide Intrusion Detection System services for Social Service Offices,2015-12-18,Awarded to Suppliers,CERTIS CISCO SECURITY TECHNOLOGY PTE. LTD.,154930
CDVHQ0ETT15000053,Ministry of Social and Family Development - Ministry Headquarter,Invitation To Tender For The Provision Of The Supply Of Mail Management Services For A Period Of 2 Years With An Option To Extend For Another 1 Year,2015-12-31,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,222672
CDVRAPETT14000018,Ministry of Social and Family Development - Rehabilitation and Protection,Tender for the Provision of Professional Supervision Service for Management Staff of the Family and Child Protection and Welfare Branch (FCPW) and the Children in Care Branch (CIC),2015-01-02,Awarded to Suppliers,LILIAN FLORENCE ELIZABETH ING,153200
CDVRAPETT14000027,Ministry of Social and Family Development - Rehabilitation and Protection,Provision of Contact Services for clients of the Family and Child Protection and Welfare Branch (FCPW),2015-02-24,Awarded to Suppliers,MCYC Community Services Society,1623000
CDVRAPETT14000027,Ministry of Social and Family Development - Rehabilitation and Protection,Provision of Contact Services for clients of the Family and Child Protection and Welfare Branch (FCPW),2015-02-24,Awarded to Suppliers,THYE HUA KWAN MORAL CHARITIES LIMITED,1623000
CDVRAPETT14000037,Ministry of Social and Family Development - Rehabilitation and Protection,"Provision of Social Assessment Interviews, marriage preparation Workshop and follow up",2015-01-02,Awarded to Suppliers,SEMBAWANG FAMILY SERVICE CENTRE,558280
CDVRAPETT14000037,Ministry of Social and Family Development - Rehabilitation and Protection,"Provision of Social Assessment Interviews, marriage preparation Workshop and follow up",2015-01-02,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,558280
CDVRAPETT14000040,Ministry of Social and Family Development - Rehabilitation and Protection,"The Provision of Training for the Child Protection Service & Agencies on the Integration of Structured Decision Making (SDM) tools into their Practice approach for a period of 18 months, with an option to extend up to 30 months",2015-02-09,Awarded to Suppliers,SP CONSULTANCY,366500
CDVRAPETT14000041,Ministry of Social and Family Development - Rehabilitation and Protection,Cleaning Services to Singapore Boys' Home (Feb 15 to Jan 16 - with option to extend for 1 year),2015-02-05,Awarded to Suppliers,TMK SERVICES PTE. LTD.,246720
CDVRAPETT15000002,Ministry of Social and Family Development - Rehabilitation and Protection,Invitation to Tender for the Provision of Services for the Assessment of Prospective Foster Parents,2015-06-04,Awarded to Suppliers,CANOSSAVILLE CHILDREN'S HOME,498500
CDVRAPETT15000002,Ministry of Social and Family Development - Rehabilitation and Protection,Invitation to Tender for the Provision of Services for the Assessment of Prospective Foster Parents,2015-06-04,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,498500
CDVRAPETT15000002,Ministry of Social and Family Development - Rehabilitation and Protection,Invitation to Tender for the Provision of Services for the Assessment of Prospective Foster Parents,2015-06-04,Awarded to Suppliers,GOOD PATHWAYS PTE. LTD.,498500
CDVRAPETT15000003,Ministry of Social and Family Development - Rehabilitation and Protection,Tender to call for proposals from research companies to provide the following to conduct a Family Violence Perceptions & Prevalence Study:Providing relevant personnel;Providing details of research methodology & design; Providing necessary logistics to conduct surveys & focus group discussions;  Manage participant reimbursement; Collect & Manage data; Evaluate & provide recommendations following study results. This study is estimated to take place from Jun 15- Feb 16.,2015-08-13,Awarded to Suppliers,NEXUS LINK PTE. LTD.,264000
CDVRAPETT15000004,Ministry of Social and Family Development - Rehabilitation and Protection,Tender For Family Connection Sessions (FCS) For Families Of The Juvenile Homes For Nine Months With And Option To Extend For Two(2) Years,2015-11-26,Awarded to Suppliers,ATMAN COUNSELLING & TRAINING CONSULTANCY,240840
CDVRAPETT15000004,Ministry of Social and Family Development - Rehabilitation and Protection,Tender For Family Connection Sessions (FCS) For Families Of The Juvenile Homes For Nine Months With And Option To Extend For Two(2) Years,2015-11-26,Awarded to Suppliers,BRIEF ACADEMY PTE. LTD.,240840
CDVRAPETT15000004,Ministry of Social and Family Development - Rehabilitation and Protection,Tender For Family Connection Sessions (FCS) For Families Of The Juvenile Homes For Nine Months With And Option To Extend For Two(2) Years,2015-11-26,Awarded to Suppliers,COMPASS LIFE,240840
CDVRAPETT15000009,Ministry of Social and Family Development - Rehabilitation and Protection,INVITATION TO TENDER FOR THE PROVISION OF EVENT MANAGEMENT SERVICES FOR THE FOSTERING SCHEME,2015-12-10,Awarded to Suppliers,SPHERE EXHIBITS PTE. LTD.,548760
CDVRAPETT15000010,Ministry of Social and Family Development - Rehabilitation and Protection,Comprehensive Maintenance Of CCTV And Integrated Security System At Singapore Girls' Home For A Base Period Of Two (2) Years With An Option To Extend For One (1) Year,2015-10-28,Awarded to Suppliers,ARROWCREST TECHNOLOGIES PTE LTD,457200
CEA000ETT15000003,Council for Estate Agencies,OPEN TENDER FOR APPOINTMENT OF A RESEARCH CONSULTANT TO CONDUCT A PUBLIC PERCEPTION SURVEY ON THE REAL ESTATE AGENCY INDUSTRY,2015-07-22,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,198000
CEA000ETT15000006,Council for Estate Agencies,ITT for the appointment of a new Appointed Examination Administrator (AEA) for the administration of the RES and REA examinations for a period of 3 years and 3 months.,2015-08-26,Awarded to Suppliers,NTUC LEARNINGHUB PTE. LTD.,3167400
CITHQ0ETT14000045,Ministry of Transport - Ministry Headquarter,PROVISION OF SITE PERSONNELS FOR LAND PREPERATION WORKS  FOR AIRPORT DEVELOPMENT,2015-01-23,Awarded to Suppliers,GREENSAFE INTERNATIONAL PTE. LTD.,22755
CITHQ0ETT14000068,Ministry of Transport - Ministry Headquarter,PROVISION OF ACCREDITED CHECKER ORGANISATION (ACO) SERVICES AND SPECIALIST ACCREDITED CHECKER (GEOTECHNICAL) FOR  LAND PREPARATION WORKS FOR AIRPORT DEVELOPMENT,2015-01-08,Awarded to Suppliers,CALIBRE CONSULTING (SINGAPORE) PTE. LTD.,93000
CITHQ0ETT15000018,Ministry of Transport - Ministry Headquarter,Provision of Manpower for Pantry & Errand Services for Ministry of Transport,2015-05-25,Awarded to Suppliers,Expertise Technologies Pte Ltd,81024
CITHQ0ETT15000031,Ministry of Transport - Ministry Headquarter,PROCUREMENT OF SERVICES FOR THE DESIGN AND CONDUCT OF A PERCEPTION SURVEY ON CAREERS IN THE TRANSPORT SECTOR,2015-08-13,Awarded to Suppliers,MEDIA RESEARCH CONSULTANTS PTE LTD,90000
CPE000ETT14000002,Council for Private Education,Appointment of External Auditor for Financial Year ending 31 Mar 2015 with option to extend on an annual basis for the next 4 Financial Years,2015-01-15,Awarded to Suppliers,FOO KON TAN LLP,35000
CPE000ETT15000007,Council for Private Education,APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS),2015-11-13,Awarded to Suppliers,DP INFORMATION NETWORK PTE LTD,240000
CPE000ETT15000007,Council for Private Education,APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS),2015-11-13,Awarded to Suppliers,DUN & BRADSTREET (SINGAPORE) PTE. LTD.,240000
CPE000ETT15000008,Council for Private Education,"APPOINTMENT OF INTERNAL AUDITOR FOR THE COUNCIL FOR PRIVATE EDUCATION FOR ONE FINANCIAL YEAR ENDING 31 MARCH 2016 (FY2015), WITH AN OPTION TO EXTEND ON AN ANNUAL BASIS, FOR THE NEXT TWO FINANCIAL YEARS (FY2016 TO FY2017)",2015-11-19,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,92120.01
CPE000ETT15000009,Council for Private Education,Indemnity Insurance (Management Liability and Professional Liability),2015-12-01,Awarded to Suppliers,AIG ASIA PACIFIC INSURANCE PTE. LTD.,224600
CPF000ETT14000026,Central Provident Fund Board,Tender for a Group Term Life Insurance Policy for CPFB Staff for a Period of 1 Year with an Option to Extend for 1 Year,2015-05-20,Awarded to Suppliers,AVIVA LTD,0.7
CPF000ETT15000001,Central Provident Fund Board,Request for Proposal (RFP) for Provision of Integrated Marketing and Public Communication Services,2015-05-08,Awarded to Suppliers,J. WALTER THOMPSON (SINGAPORE) PTE. LTD.,1.98
CPF000ETT15000001,Central Provident Fund Board,Request for Proposal (RFP) for Provision of Integrated Marketing and Public Communication Services,2015-05-08,Awarded to Suppliers,WILD ADVERTISING & MARKETING PTE. LTD.,1.98
CPF000ETT15000002,Central Provident Fund Board,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,2015-03-26,Awarded to Suppliers,CENTRE FOR PERFORMANCE TRANSFORMATION (PTE.) LTD.,5
CPF000ETT15000002,Central Provident Fund Board,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,2015-03-26,Awarded to Suppliers,EXPLORA PTE. LTD.,5
CPF000ETT15000002,Central Provident Fund Board,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,2015-03-26,Awarded to Suppliers,GRINESS PTE. LTD.,5
CPF000ETT15000002,Central Provident Fund Board,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,2015-03-26,Awarded to Suppliers,MAD LEARNING PTE LTD,5
CPF000ETT15000002,Central Provident Fund Board,TENDER FOR TEAMBUILDING SESSIONS FOR CPFB TO BE AWARDED TO A PANEL OF VENDORS FOR 1 APRIL 2015 TO 31 MARCH 2017,2015-03-26,Awarded to Suppliers,TLG HOLDINGS PTE. LTD.,5
CPF000ETT15000003,Central Provident Fund Board,"Tender for Supply, Delivery, Installation, Testing, Commissioning and Maintenance of Internet Protocol Telephony System",2015-07-02,Awarded to Suppliers,NCS PTE. LTD.,1373798.61
CPF000ETT15000004,Central Provident Fund Board,"Request for Proposal (RFP) for an Integrated Agency to Plan, Conceptualise and Execute an Outreach Campaign",2015-05-16,Awarded to Suppliers,Redworks (S) Pte Ltd,1184784.5
CPF000ETT15000005,Central Provident Fund Board,Tender for Appointment of Marketing Agent for Sale of Office Building,2015-04-23,Awarded to Suppliers,CBRE PTE. LTD.,0.06
CPF000ETT15000006,Central Provident Fund Board,Tender for Audit Services for Workfare Income Supplement (WIS) and Workfare Special Bonus (WSB) Scheme,2015-03-31,Awarded to Suppliers,ERNST & YOUNG LLP,180200
CPF000ETT15000007,Central Provident Fund Board,Tender for the Production Of InTouch Online Magazine,2015-05-25,Awarded to Suppliers,COMWERKS PTE. LTD.,126623
CPF000ETT15000008,Central Provident Fund Board,Tender for Auxiliary Police Services for The Enforcement of Warrants of Arrest for Court Attendance/Summons,2015-07-10,Awarded to Suppliers,AETOS SECURITY MANAGEMENT PTE. LTD.,3750
